년도,월,합계(명),국내발생(명),해외유입(명),사망(명)
2020 ,1 ,11 ,4 ,7 ,0 
2020 ,2 ,2920 ,2904 ,16 ,16 
2020 ,3 ,6855 ,6344 ,511 ,146 
2020 ,4 ,979 ,447 ,532 ,85 
2020 ,5 ,703 ,511 ,192 ,23 
2020 ,6 ,1331 ,1006 ,325 ,12 
2020 ,7 ,1506 ,693 ,813 ,19 
2020 ,8 ,5641 ,5214 ,427 ,23 
2020 ,9 ,3865 ,3461 ,404 ,89 
2020 ,10 ,2700 ,2172 ,528 ,51 
2020 ,11 ,7688 ,6895 ,793 ,62 
2020 ,12 ,26527 ,25696 ,831 ,374 
2021 ,1 ,17471 ,16544 ,927 ,520 
2021 ,2 ,11467 ,10729 ,738 ,183 
2021 ,3 ,13415 ,12870 ,545 ,128 
2021 ,4 ,18927 ,18193 ,734 ,97 
2021 ,5 ,18331 ,17603 ,728 ,131 
2021 ,6 ,16623 ,15758 ,865 ,59 
2021 ,7 ,41796 ,39891 ,1905 ,215 
2021 ,8 ,53077 ,51424 ,1653 ,190 
2021 ,9 ,59858 ,58972 ,886 ,196 
2021 ,10 ,53415 ,52758 ,657 ,368 
2021 ,11 ,82517 ,81884 ,633 ,775 
2021 ,12 ,183599 ,181981 ,1618 ,1939 
2022 ,1 ,197774 ,190052 ,7722 ,1169 
2022 ,2 ,2305712 ,2301455 ,4257 ,1326 
2022 ,3 ,9960768 ,9959025 ,1743 ,8172 
2022 ,4 ,4142663 ,4141781 ,882 ,6564 
2022 ,5 ,0 ,0 ,0 ,0 
2022 ,6 ,0 ,0 ,0 ,0 
2022 ,7 ,0 ,0 ,0 ,0 
2022 ,8 ,0 ,0 ,0 ,0 
2022 ,9 ,0 ,0 ,0 ,0 
2022 ,10 ,0 ,0 ,0 ,0 
2022 ,11 ,0 ,0 ,0 ,0 
2022 ,12 ,0 ,0 ,0 ,0 
